% Moku:Go Spectrum Analyzer
% Input 1 (on), AC, 30 MHz, 1 MOhm, 10 Vpp
% Input 2 (off), AC, 30 MHz, 1 MOhm, 10 Vpp
% Start freq 9.975 000 MHz, stop freq 10.175 000 MHz, RBW 977.5 Hz (Auto mode), Blackman-Harris window, Video filter off
% Averaging: 16 spectra per frame, 1 frame averages
% Output 1 (off) - 10.000 000 000 000 MHz, 1.000 Vpp
% Output 2 (off) - 20.000 000 000 000 MHz, 1.000 Vpp
% 
% Acquired 2026-05-09 T 13:00:38 +0900
% Frequency (Hz), Input 1 (dBm)
9.974966815207e+06, -9.541682e+01
9.975205233786e+06, -9.472180e+01
9.975443652365e+06, -9.372758e+01
9.975682070944e+06, -9.336864e+01
9.975920489524e+06, -9.379705e+01
9.976158908103e+06, -9.482609e+01
9.976397326682e+06, -9.528006e+01
9.976635745261e+06, -9.509057e+01
9.976874163840e+06, -9.462116e+01
9.977112582419e+06, -9.457074e+01
9.977351000998e+06, -9.482720e+01
9.977589419577e+06, -9.467277e+01
9.977827838156e+06, -9.457140e+01
9.978066256735e+06, -9.410465e+01
9.978304675315e+06, -9.393897e+01
9.978543093894e+06, -9.420133e+01
9.978781512473e+06, -9.467386e+01
9.979019931052e+06, -9.528247e+01
9.979258349631e+06, -9.579045e+01
9.979496768210e+06, -9.596674e+01
9.979735186789e+06, -9.581999e+01
9.979973605368e+06, -9.547730e+01
9.980212023947e+06, -9.457358e+01
9.980450442526e+06, -9.377814e+01
9.980688861106e+06, -9.352854e+01
9.980927279685e+06, -9.370972e+01
9.981165698264e+06, -9.427661e+01
9.981404116843e+06, -9.475323e+01
9.981642535422e+06, -9.477926e+01
9.981880954001e+06, -9.462573e+01
9.982119372580e+06, -9.467689e+01
9.982357791159e+06, -9.483176e+01
9.982596209738e+06, -9.435141e+01
9.982834628318e+06, -9.420522e+01
9.983073046897e+06, -9.406147e+01
9.983311465476e+06, -9.392006e+01
9.983549884055e+06, -9.410962e+01
9.983788302634e+06, -9.462744e+01
9.984026721213e+06, -9.462766e+01
9.984265139792e+06, -9.375856e+01
9.984503558371e+06, -9.294764e+01
9.984741976950e+06, -9.243976e+01
9.984980395529e+06, -9.247954e+01
9.985218814109e+06, -9.282360e+01
9.985457232688e+06, -9.324656e+01
9.985695651267e+06, -9.316056e+01
9.985934069846e+06, -9.294891e+01
9.986172488425e+06, -9.311819e+01
9.986410907004e+06, -9.378346e+01
9.986649325583e+06, -9.440436e+01
9.986887744162e+06, -9.346717e+01
9.987126162741e+06, -9.242215e+01
9.987364581320e+06, -9.183229e+01
9.987602999900e+06, -9.186938e+01
9.987841418479e+06, -9.254176e+01
9.988079837058e+06, -9.385432e+01
9.988318255637e+06, -9.488920e+01
9.988556674216e+06, -9.545696e+01
9.988795092795e+06, -9.606441e+01
9.989033511374e+06, -9.548535e+01
9.989271929953e+06, -9.489003e+01
9.989510348532e+06, -9.468342e+01
9.989748767111e+06, -9.468362e+01
9.989987185691e+06, -9.438255e+01
9.990225604270e+06, -9.364964e+01
9.990464022849e+06, -9.335991e+01
9.990702441428e+06, -9.362740e+01
9.990940860007e+06, -9.376439e+01
9.991179278586e+06, -9.358269e+01
9.991417697165e+06, -9.340471e+01
9.991656115744e+06, -9.342699e+01
9.991894534323e+06, -9.365107e+01
9.992132952902e+06, -9.378842e+01
9.992371371482e+06, -9.388127e+01
9.992609790061e+06, -9.390480e+01
9.992848208640e+06, -9.385842e+01
9.993086627219e+06, -9.407020e+01
9.993325045798e+06, -9.438541e+01
9.993563464377e+06, -9.489370e+01
9.993801882956e+06, -9.580324e+01
9.994040301535e+06, -9.678664e+01
9.994278720114e+06, -9.675437e+01
9.994517138693e+06, -9.546206e+01
9.994755557273e+06, -9.438662e+01
9.994993975852e+06, -9.388349e+01
9.995232394431e+06, -9.365389e+01
9.995470813010e+06, -9.360885e+01
9.995709231589e+06, -9.407241e+01
9.995947650168e+06, -9.448688e+01
9.996186068747e+06, -9.463814e+01
9.996424487326e+06, -9.448728e+01
9.996662905905e+06, -9.441292e+01
9.996901324484e+06, -9.441312e+01
9.997139743064e+06, -9.404984e+01
9.997378161643e+06, -9.358791e+01
9.997616580222e+06, -9.338791e+01
9.997854998801e+06, -9.358831e+01
9.998093417380e+06, -9.436476e+01
9.998331835959e+06, -9.552128e+01
9.998570254538e+06, -9.592420e+01
9.998808673117e+06, -9.540995e+01
9.999047091696e+06, -9.489827e+01
9.999285510276e+06, -9.471724e+01
9.999523928855e+06, -9.489866e+01
9.999762347434e+06, -9.524581e+01
1.000000076601e+07, -9.543872e+01
1.000023918459e+07, -9.489925e+01
1.000047760317e+07, -9.426884e+01
1.000071602175e+07, -9.398187e+01
1.000095444033e+07, -9.381883e+01
1.000119285891e+07, -9.379596e+01
1.000143127749e+07, -9.377314e+01
1.000166969607e+07, -9.356895e+01
1.000190811465e+07, -9.323884e+01
1.000214653322e+07, -9.334775e+01
1.000238495180e+07, -9.359200e+01
1.000262337038e+07, -9.343609e+01
1.000286178896e+07, -9.332647e+01
1.000310020754e+07, -9.337042e+01
1.000333862612e+07, -9.328331e+01
1.000357704470e+07, -9.306903e+01
1.000381546328e+07, -9.294303e+01
1.000405388186e+07, -9.281884e+01
1.000429230044e+07, -9.251565e+01
1.000453071902e+07, -9.207031e+01
1.000476913759e+07, -9.181009e+01
