% Moku:Go Spectrum Analyzer
% Input 1 (on), AC, 30 MHz, 1 MOhm, 10 Vpp
% Input 2 (off), AC, 30 MHz, 1 MOhm, 10 Vpp
% Start freq 9.975 000 MHz, stop freq 10.175 000 MHz, RBW 977.5 Hz (Auto mode), Blackman-Harris window, Video filter off
% Averaging: 16 spectra per frame, 1 frame averages
% Output 1 (off) - 10.000 000 000 000 MHz, 1.000 Vpp
% Output 2 (off) - 20.000 000 000 000 MHz, 1.000 Vpp
% 
% Acquired 2026-05-09 T 12:57:42 +0900
% Frequency (Hz), Input 1 (dBm)
9.974966815207e+06, -9.393588e+01
9.975205233786e+06, -9.391266e+01
9.975443652365e+06, -9.405450e+01
9.975682070944e+06, -9.370491e+01
9.975920489524e+06, -9.323792e+01
9.976158908103e+06, -9.310914e+01
9.976397326682e+06, -9.345771e+01
9.976635745261e+06, -9.368297e+01
9.976874163840e+06, -9.396116e+01
9.977112582419e+06, -9.334800e+01
9.977351000998e+06, -9.315303e+01
9.977589419577e+06, -9.323946e+01
9.977827838156e+06, -9.379881e+01
9.978066256735e+06, -9.452126e+01
9.978304675315e+06, -9.493273e+01
9.978543093894e+06, -9.432316e+01
9.978781512473e+06, -9.393941e+01
9.979019931052e+06, -9.396313e+01
9.979258349631e+06, -9.449729e+01
9.979496768210e+06, -9.528291e+01
9.979735186789e+06, -9.587848e+01
9.979973605368e+06, -9.611668e+01
9.980212023947e+06, -9.520175e+01
9.980450442526e+06, -9.425160e+01
9.980688861106e+06, -9.326398e+01
9.980927279685e+06, -9.263603e+01
9.981165698264e+06, -9.249598e+01
9.981404116843e+06, -9.292396e+01
9.981642535422e+06, -9.384861e+01
9.981880954001e+06, -9.490970e+01
9.982119372580e+06, -9.617915e+01
9.982357791159e+06, -9.731321e+01
9.982596209738e+06, -9.755910e+01
9.982834628318e+06, -9.707472e+01
9.983073046897e+06, -9.614969e+01
9.983311465476e+06, -9.539665e+01
9.983549884055e+06, -9.562176e+01
9.983788302634e+06, -9.621107e+01
9.984026721213e+06, -9.649000e+01
9.984265139792e+06, -9.553738e+01
9.984503558371e+06, -9.462808e+01
9.984741976950e+06, -9.413464e+01
9.984980395529e+06, -9.392155e+01
9.985218814109e+06, -9.385181e+01
9.985457232688e+06, -9.396892e+01
9.985695651267e+06, -9.420777e+01
9.985934069846e+06, -9.435438e+01
9.986172488425e+06, -9.430551e+01
9.986410907004e+06, -9.428129e+01
9.986649325583e+06, -9.413633e+01
9.986887744162e+06, -9.404109e+01
9.987126162741e+06, -9.438006e+01
9.987364581320e+06, -9.523531e+01
9.987602999900e+06, -9.603348e+01
9.987841418479e+06, -9.609359e+01
9.988079837058e+06, -9.576933e+01
9.988318255637e+06, -9.568311e+01
9.988556674216e+06, -9.571203e+01
9.988795092795e+06, -9.556961e+01
9.989033511374e+06, -9.540169e+01
9.989271929953e+06, -9.542970e+01
9.989510348532e+06, -9.478621e+01
9.989748767111e+06, -9.397267e+01
9.989987185691e+06, -9.316431e+01
9.990225604270e+06, -9.250398e+01
9.990464022849e+06, -9.213452e+01
9.990702441428e+06, -9.217291e+01
9.990940860007e+06, -9.264486e+01
9.991179278586e+06, -9.353780e+01
9.991417697165e+06, -9.468506e+01
9.991656115744e+06, -9.551567e+01
9.991894534323e+06, -9.580162e+01
9.992132952902e+06, -9.554423e+01
9.992371371482e+06, -9.515833e+01
9.992609790061e+06, -9.468608e+01
9.992848208640e+06, -9.369736e+01
9.993086627219e+06, -9.312417e+01
9.993325045798e+06, -9.293439e+01
9.993563464377e+06, -9.291374e+01
9.993801882956e+06, -9.289314e+01
9.994040301535e+06, -9.314635e+01
9.994278720114e+06, -9.363044e+01
9.994517138693e+06, -9.423961e+01
9.994755557273e+06, -9.502651e+01
9.994993975852e+06, -9.601001e+01
9.995232394431e+06, -9.718707e+01
9.995470813010e+06, -9.789671e+01
9.995709231589e+06, -9.815957e+01
9.995947650168e+06, -9.742943e+01
9.996186068747e+06, -9.640658e+01
9.996424487326e+06, -9.563287e+01
9.996662905905e+06, -9.502811e+01
9.996901324484e+06, -9.479248e+01
9.997139743064e+06, -9.463894e+01
9.997378161643e+06, -9.429066e+01
9.997616580222e+06, -9.343200e+01
9.997854998801e+06, -9.310685e+01
9.998093417380e+06, -9.308578e+01
9.998331835959e+06, -9.289692e+01
9.998570254538e+06, -9.277333e+01
9.998808673117e+06, -9.277352e+01
9.999047091696e+06, -9.296007e+01
9.999285510276e+06, -9.319360e+01
9.999523928855e+06, -9.330197e+01
9.999762347434e+06, -9.358987e+01
1.000000076601e+07, -9.391096e+01
1.000023918459e+07, -9.393453e+01
1.000047760317e+07, -9.354557e+01
1.000071602175e+07, -9.294053e+01
1.000095444033e+07, -9.245354e+01
1.000119285891e+07, -9.214349e+01
1.000143127749e+07, -9.178911e+01
1.000166969607e+07, -9.188121e+01
1.000190811465e+07, -9.259361e+01
1.000214653322e+07, -9.361434e+01
1.000238495180e+07, -9.444239e+01
1.000262337038e+07, -9.459277e+01
1.000286178896e+07, -9.386670e+01
1.000310020754e+07, -9.348079e+01
1.000333862612e+07, -9.363789e+01
1.000357704470e+07, -9.407885e+01
1.000381546328e+07, -9.444353e+01
1.000405388186e+07, -9.449350e+01
1.000429230044e+07, -9.456889e+01
1.000453071902e+07, -9.434540e+01
1.000476913759e+07, -9.391480e+01
1.000500755617e+07, -9.326296e+01
1.000524597475e+07, -9.288175e+01
1.000548439333e+07, -9.298621e+01
1.000572281191e+07, -9.346069e+01
1.000596123049e+07, -9.375381e+01
1.000619964907e+07, -9.386935e+01
1.000643806765e+07, -9.396294e+01
1.000667648623e+07, -9.405754e+01
1.000691490481e+07, -9.410532e+01
1.000715332339e+07, -9.437204e+01
1.000739174196e+07, -9.498380e+01
1.000763016054e+07, -9.575658e+01
1.000786857912e+07, -9.593165e+01
1.000810699770e+07, -9.525247e+01
1.000834541628e+07, -9.464794e+01
1.000858383486e+07, -9.401169e+01
1.000882225344e+07, -9.357462e+01
1.000906067202e+07, -9.353003e+01
1.000929909060e+07, -9.380238e+01
1.000953750918e+07, -9.359764e+01
1.000977592776e+07, -9.324505e+01
1.001001434634e+07, -9.307408e+01
1.001025276491e+07, -9.309547e+01
1.001049118349e+07, -9.357590e+01
1.001072960207e+07, -9.413217e+01
1.001096802065e+07, -9.444913e+01
1.001120643923e+07, -9.444931e+01
1.001144485781e+07, -9.401390e+01
1.001168327639e+07, -9.378120e+01
1.001192169497e+07, -9.378138e+01
1.001216011355e+07, -9.425374e+01
1.001239853213e+07, -9.465106e+01
1.001263695071e+07, -9.470218e+01
