% Moku:Go Spectrum Analyzer
% Input 1 (on), AC, 30 MHz, 1 MOhm, 10 Vpp
% Input 2 (off), AC, 30 MHz, 1 MOhm, 10 Vpp
% Start freq 9.975 000 MHz, stop freq 10.175 000 MHz, RBW 977.5 Hz (Auto mode), Blackman-Harris window, Video filter off
% Averaging: 16 spectra per frame, 1 frame averages
% Output 1 (off) - 10.000 000 000 000 MHz, 1.000 Vpp
% Output 2 (off) - 20.000 000 000 000 MHz, 1.000 Vpp
% 
% Acquired 2026-05-09 T 12:58:12 +0900
% Frequency (Hz), Input 1 (dBm)
9.974966815207e+06, -9.398296e+01
9.975205233786e+06, -9.550097e+01
9.975443652365e+06, -9.703436e+01
9.975682070944e+06, -9.769636e+01
9.975920489524e+06, -9.710214e+01
9.976158908103e+06, -9.575860e+01
9.976397326682e+06, -9.487848e+01
9.976635745261e+06, -9.424810e+01
9.976874163840e+06, -9.386751e+01
9.977112582419e+06, -9.361528e+01
9.977351000998e+06, -9.319603e+01
9.977589419577e+06, -9.287882e+01
9.977827838156e+06, -9.298357e+01
9.978066256735e+06, -9.352615e+01
9.978304675315e+06, -9.437215e+01
9.978543093894e+06, -9.444671e+01
9.978781512473e+06, -9.401012e+01
9.979019931052e+06, -9.357191e+01
9.979258349631e+06, -9.315478e+01
9.979496768210e+06, -9.346056e+01
9.979735186789e+06, -9.401099e+01
9.979973605368e+06, -9.493425e+01
9.980212023947e+06, -9.573342e+01
9.980450442526e+06, -9.570482e+01
9.980688861106e+06, -9.550601e+01
9.980927279685e+06, -9.545019e+01
9.981165698264e+06, -9.570547e+01
9.981404116843e+06, -9.605787e+01
9.981642535422e+06, -9.655103e+01
9.981880954001e+06, -9.667898e+01
9.982119372580e+06, -9.633234e+01
9.982357791159e+06, -9.611884e+01
9.982596209738e+06, -9.608894e+01
9.982834628318e+06, -9.605915e+01
9.983073046897e+06, -9.611948e+01
9.983311465476e+06, -9.627181e+01
9.983549884055e+06, -9.597040e+01
9.983788302634e+06, -9.542487e+01
9.984026721213e+06, -9.491162e+01
9.984265139792e+06, -9.462787e+01
9.984503558371e+06, -9.485972e+01
9.984741976950e+06, -9.493854e+01
9.984980395529e+06, -9.465394e+01
9.985218814109e+06, -9.445273e+01
9.985457232688e+06, -9.428045e+01
9.985695651267e+06, -9.401634e+01
9.985934069846e+06, -9.376003e+01
9.986172488425e+06, -9.364610e+01
9.986410907004e+06, -9.373751e+01
9.986649325583e+06, -9.389964e+01
9.986887744162e+06, -9.408868e+01
9.987126162741e+06, -9.483599e+01
9.987364581320e+06, -9.551196e+01
9.987602999900e+06, -9.588550e+01
9.987841418479e+06, -9.600389e+01
9.988079837058e+06, -9.636859e+01
9.988318255637e+06, -9.658871e+01
9.988556674216e+06, -9.624580e+01
9.988795092795e+06, -9.537378e+01
9.989033511374e+06, -9.411445e+01
9.989271929953e+06, -9.351380e+01
9.989510348532e+06, -9.362637e+01
9.989748767111e+06, -9.443184e+01
9.989987185691e+06, -9.526486e+01
9.990225604270e+06, -9.585848e+01
9.990464022849e+06, -9.559939e+01
9.990702441428e+06, -9.483909e+01
9.990940860007e+06, -9.448264e+01
9.991179278586e+06, -9.438358e+01
9.991417697165e+06, -9.445813e+01
9.991656115744e+06, -9.489208e+01
9.991894534323e+06, -9.532130e+01
9.992132952902e+06, -9.529406e+01
9.992371371482e+06, -9.466036e+01
9.992609790061e+06, -9.440951e+01
9.992848208640e+06, -9.453433e+01
9.993086627219e+06, -9.502510e+01
9.993325045798e+06, -9.560183e+01
9.993563464377e+06, -9.557370e+01
9.993801882956e+06, -9.543357e+01
9.994040301535e+06, -9.543377e+01
9.994278720114e+06, -9.540618e+01
9.994517138693e+06, -9.557450e+01
9.994755557273e+06, -9.574614e+01
9.994993975852e+06, -9.560324e+01
9.995232394431e+06, -9.494759e+01
9.995470813010e+06, -9.479128e+01
9.995709231589e+06, -9.535206e+01
9.995947650168e+06, -9.619115e+01
9.996186068747e+06, -9.650049e+01
9.996424487326e+06, -9.563287e+01
9.996662905905e+06, -9.487018e+01
9.996901324484e+06, -9.463874e+01
9.997139743064e+06, -9.494918e+01
9.997378161643e+06, -9.532592e+01
9.997616580222e+06, -9.543676e+01
9.997854998801e+06, -9.474172e+01
9.998093417380e+06, -9.388607e+01
9.998331835959e+06, -9.321435e+01
9.998570254538e+06, -9.279384e+01
9.998808673117e+06, -9.287656e+01
9.999047091696e+06, -9.306536e+01
9.999285510276e+06, -9.289770e+01
9.999523928855e+06, -9.257163e+01
9.999762347434e+06, -9.251199e+01
1.000000076601e+07, -9.285683e+01
1.000023918459e+07, -9.343416e+01
1.000047760317e+07, -9.374942e+01
1.000071602175e+07, -9.381864e+01
1.000095444033e+07, -9.388842e+01
1.000119285891e+07, -9.391193e+01
1.000143127749e+07, -9.388880e+01
1.000166969607e+07, -9.424551e+01
1.000190811465e+07, -9.497945e+01
1.000214653322e+07, -9.456717e+01
1.000238495180e+07, -9.317465e+01
1.000262337038e+07, -9.199358e+01
1.000286178896e+07, -9.155574e+01
1.000310020754e+07, -9.175396e+01
1.000333862612e+07, -9.229895e+01
1.000357704470e+07, -9.337080e+01
1.000381546328e+07, -9.441875e+01
1.000405388186e+07, -9.527654e+01
1.000429230044e+07, -9.527673e+01
1.000453071902e+07, -9.522247e+01
1.000476913759e+07, -9.511475e+01
1.000500755617e+07, -9.461996e+01
1.000524597475e+07, -9.417589e+01
1.000548439333e+07, -9.417608e+01
1.000572281191e+07, -9.451982e+01
1.000596123049e+07, -9.452001e+01
1.000619964907e+07, -9.474845e+01
1.000643806765e+07, -9.498306e+01
1.000667648623e+07, -9.533342e+01
1.000691490481e+07, -9.547214e+01
1.000715332339e+07, -9.490477e+01
1.000739174196e+07, -9.420167e+01
1.000763016054e+07, -9.410588e+01
1.000786857912e+07, -9.434803e+01
1.000810699770e+07, -9.442214e+01
1.000834541628e+07, -9.442232e+01
1.000858383486e+07, -9.417851e+01
1.000882225344e+07, -9.352984e+01
1.000906067202e+07, -9.330956e+01
1.000929909060e+07, -9.344135e+01
1.000953750918e+07, -9.366541e+01
1.000977592776e+07, -9.391871e+01
1.001001434634e+07, -9.410773e+01
1.001025276491e+07, -9.472595e+01
1.001049118349e+07, -9.533638e+01
1.001072960207e+07, -9.573017e+01
1.001096802065e+07, -9.550325e+01
1.001120643923e+07, -9.449909e+01
1.001144485781e+07, -9.399033e+01
1.001168327639e+07, -9.410901e+01
1.001192169497e+07, -9.460005e+01
1.001216011355e+07, -9.522840e+01
1.001239853213e+07, -9.525576e+01
1.001263695071e+07, -9.558899e+01
1.001287536928e+07, -9.525613e+01
1.001311378786e+07, -9.445076e+01
1.001335220644e+07, -9.392144e+01
1.001359062502e+07, -9.369121e+01
1.001382904360e+07, -9.375987e+01
1.001406746218e+07, -9.413470e+01
1.001430588076e+07, -9.430402e+01
1.001454429934e+07, -9.415902e+01
1.001478271792e+07, -9.420732e+01
1.001502113650e+07, -9.460238e+01
1.001525955508e+07, -9.483283e+01
1.001549797365e+07, -9.498999e+01
1.001573639223e+07, -9.517697e+01
1.001597481081e+07, -9.536805e+01
1.001621322939e+07, -9.528589e+01
1.001645164797e+07, -9.462873e+01
1.001669006655e+07, -9.411276e+01
1.001692848513e+07, -9.411294e+01
1.001716690371e+07, -9.420909e+01
1.001740532229e+07, -9.435525e+01
1.001764374087e+07, -9.465497e+01
1.001788215945e+07, -9.512477e+01
1.001812057802e+07, -9.591001e+01
1.001835899660e+07, -9.690394e+01
1.001859741518e+07, -9.651801e+01
1.001883583376e+07, -9.585204e+01
1.001907425234e+07, -9.496626e+01
1.001931267092e+07, -9.458033e+01
1.001955108950e+07, -9.458050e+01
1.001978950808e+07, -9.494050e+01
1.002002792666e+07, -9.518011e+01
1.002026634524e+07, -9.465688e+01
1.002050476382e+07, -9.388014e+01
1.002074318239e+07, -9.342782e+01
1.002098160097e+07, -9.340597e+01
1.002122001955e+07, -9.347237e+01
1.002145843813e+07, -9.371976e+01
1.002169685671e+07, -9.402147e+01
1.002193527529e+07, -9.440775e+01
1.002217369387e+07, -9.438328e+01
