% Moku:Go Spectrum Analyzer
% Input 1 (on), AC, 30 MHz, 1 MOhm, 10 Vpp
% Input 2 (off), AC, 30 MHz, 1 MOhm, 10 Vpp
% Start freq 10.000 000 MHz, stop freq 10.200 000 MHz, RBW 977.5 Hz (Auto mode), Blackman-Harris window, Video filter off
% Averaging: 16 spectra per frame, 1 frame averages
% Output 1 (off) - 10.000 000 000 000 MHz, 1.000 Vpp
% Output 2 (off) - 20.000 000 000 000 MHz, 1.000 Vpp
% 
% Acquired 2026-05-08 T 15:04:19 +0900
% Frequency (Hz), Input 1 (dBm)
9.999966830947e+06, -9.427092e+01
1.000020524953e+07, -9.436928e+01
1.000044366810e+07, -9.405450e+01
1.000068208668e+07, -9.352395e+01
1.000092050526e+07, -9.319470e+01
1.000115892384e+07, -9.275371e+01
1.000139734242e+07, -9.269269e+01
1.000163576100e+07, -9.298247e+01
1.000187417958e+07, -9.363771e+01
1.000211259816e+07, -9.444540e+01
1.000235101674e+07, -9.509123e+01
1.000258943532e+07, -9.530860e+01
1.000282785390e+07, -9.519957e+01
1.000306627247e+07, -9.477600e+01
1.000330469105e+07, -9.442164e+01
1.000354310963e+07, -9.417717e+01
1.000378152821e+07, -9.405758e+01
1.000401994679e+07, -9.393962e+01
1.000425836537e+07, -9.393984e+01
1.000449678395e+07, -9.417804e+01
1.000473520253e+07, -9.422665e+01
1.000497362111e+07, -9.380077e+01
1.000521203969e+07, -9.324186e+01
1.000545045827e+07, -9.298596e+01
1.000568887684e+07, -9.300723e+01
1.000592729542e+07, -9.352876e+01
1.000616571400e+07, -9.394158e+01
1.000640413258e+07, -9.401250e+01
1.000664255116e+07, -9.415590e+01
1.000688096974e+07, -9.449967e+01
1.000711938832e+07, -9.460059e+01
1.000735780690e+07, -9.447510e+01
1.000759622548e+07, -9.437605e+01
1.000783464406e+07, -9.462659e+01
1.000807306264e+07, -9.491077e+01
1.000831148122e+07, -9.437669e+01
1.000854989979e+07, -9.378093e+01
1.000878831837e+07, -9.364399e+01
1.000902673695e+07, -9.403856e+01
1.000926515553e+07, -9.440225e+01
1.000950357411e+07, -9.473027e+01
1.000974199269e+07, -9.447723e+01
1.000998041127e+07, -9.428003e+01
1.001021882985e+07, -9.420735e+01
1.001045724843e+07, -9.425608e+01
1.001069566701e+07, -9.432959e+01
1.001093408559e+07, -9.442851e+01
1.001117250416e+07, -9.457891e+01
1.001141092274e+07, -9.494001e+01
1.001164934132e+07, -9.428150e+01
1.001188775990e+07, -9.380695e+01
1.001212617848e+07, -9.392344e+01
1.001236459706e+07, -9.442977e+01
1.001260301564e+07, -9.486245e+01
1.001284143422e+07, -9.510064e+01
1.001307985280e+07, -9.542866e+01
1.001331827138e+07, -9.556919e+01
1.001355668996e+07, -9.502121e+01
1.001379510853e+07, -9.458121e+01
1.001403352711e+07, -9.411445e+01
1.001427194569e+07, -9.390193e+01
1.001451036427e+07, -9.401967e+01
1.001474878285e+07, -9.406734e+01
1.001498720143e+07, -9.418736e+01
1.001522562001e+07, -9.426025e+01
1.001546403859e+07, -9.435832e+01
1.001570245717e+07, -9.445751e+01
1.001594087575e+07, -9.476163e+01
1.001617929433e+07, -9.476183e+01
1.001641771290e+07, -9.468506e+01
1.001665613148e+07, -9.453332e+01
1.001689455006e+07, -9.404542e+01
1.001713296864e+07, -9.323073e+01
1.001737138722e+07, -9.270689e+01
1.001760980580e+07, -9.285067e+01
1.001784822438e+07, -9.329640e+01
1.001808664296e+07, -9.414189e+01
1.001832506154e+07, -9.445975e+01
1.001856348012e+07, -9.450987e+01
1.001880189870e+07, -9.461078e+01
1.001904031727e+07, -9.481597e+01
1.001927873585e+07, -9.494679e+01
1.001951715443e+07, -9.492071e+01
1.001975557301e+07, -9.473913e+01
1.001999399159e+07, -9.443631e+01
1.002023241017e+07, -9.386044e+01
1.002047082875e+07, -9.332041e+01
1.002070924733e+07, -9.336437e+01
1.002094766591e+07, -9.349718e+01
1.002118608449e+07, -9.334286e+01
1.002142450307e+07, -9.370037e+01
1.002166292164e+07, -9.453754e+01
1.002190134022e+07, -9.529808e+01
1.002213975880e+07, -9.554845e+01
1.002237817738e+07, -9.574833e+01
1.002261659596e+07, -9.563386e+01
1.002285501454e+07, -9.535384e+01
1.002309343312e+07, -9.441411e+01
1.002333185170e+07, -9.354381e+01
1.002357027028e+07, -9.304381e+01
1.002380868886e+07, -9.330138e+01
1.002404710744e+07, -9.377120e+01
1.002428552601e+07, -9.400427e+01
1.002452394459e+07, -9.370293e+01
1.002476236317e+07, -9.304478e+01
1.002500078175e+07, -9.253209e+01
1.002523920033e+07, -9.259225e+01
1.002547761891e+07, -9.334639e+01
1.002571603749e+07, -9.454088e+01
1.002595445607e+07, -9.521959e+01
1.002619287465e+07, -9.477019e+01
1.002643129323e+07, -9.451639e+01
1.002666971181e+07, -9.459200e+01
1.002690813038e+07, -9.446686e+01
1.002714654896e+07, -9.439270e+01
1.002738496754e+07, -9.461787e+01
1.002762338612e+07, -9.511304e+01
1.002786180470e+07, -9.541325e+01
1.002810022328e+07, -9.527578e+01
1.002833864186e+07, -9.511361e+01
1.002857706044e+07, -9.522171e+01
1.002881547902e+07, -9.479811e+01
1.002905389760e+07, -9.444372e+01
1.002929231618e+07, -9.444391e+01
1.002953073476e+07, -9.451888e+01
1.002976915333e+07, -9.479887e+01
1.003000757191e+07, -9.479906e+01
1.003024599049e+07, -9.479925e+01
1.003048440907e+07, -9.490346e+01
1.003072282765e+07, -9.530522e+01
1.003096124623e+07, -9.595965e+01
1.003119966481e+07, -9.669951e+01
1.003143808339e+07, -9.657196e+01
1.003167650197e+07, -9.593072e+01
1.003191492055e+07, -9.525153e+01
1.003215333913e+07, -9.472354e+01
1.003239175770e+07, -9.422583e+01
1.003263017628e+07, -9.405829e+01
1.003286859486e+07, -9.425043e+01
1.003310701344e+07, -9.444692e+01
1.003334543202e+07, -9.415429e+01
1.003358385060e+07, -9.420260e+01
1.003382226918e+07, -9.447233e+01
1.003406068776e+07, -9.469944e+01
1.003429910634e+07, -9.442306e+01
1.003453752492e+07, -9.408353e+01
1.003477594350e+07, -9.382582e+01
1.003501436207e+07, -9.355312e+01
1.003525278065e+07, -9.335413e+01
1.003549119923e+07, -9.339818e+01
1.003572961781e+07, -9.371181e+01
1.003596803639e+07, -9.425283e+01
1.003620645497e+07, -9.480388e+01
1.003644487355e+07, -9.550362e+01
1.003668329213e+07, -9.553186e+01
1.003692171071e+07, -9.509355e+01
1.003716012929e+07, -9.442525e+01
1.003739854787e+07, -9.355494e+01
1.003763696644e+07, -9.311856e+01
1.003787538502e+07, -9.344409e+01
1.003811380360e+07, -9.420607e+01
1.003835222218e+07, -9.427893e+01
1.003859064076e+07, -9.447597e+01
1.003882905934e+07, -9.488377e+01
1.003906747792e+07, -9.544975e+01
1.003930589650e+07, -9.528447e+01
1.003954431508e+07, -9.493663e+01
1.003978273366e+07, -9.472938e+01
1.004002115224e+07, -9.467846e+01
1.004025957081e+07, -9.491097e+01
1.004049798939e+07, -9.550667e+01
1.004073640797e+07, -9.602643e+01
1.004097482655e+07, -9.596731e+01
1.004121324513e+07, -9.539584e+01
1.004145166371e+07, -9.493805e+01
1.004169008229e+07, -9.488591e+01
1.004192850087e+07, -9.475663e+01
1.004216691945e+07, -9.468005e+01
1.004240533803e+07, -9.480853e+01
1.004264375661e+07, -9.534175e+01
1.004288217518e+07, -9.593923e+01
1.004312059376e+07, -9.539725e+01
1.004335901234e+07, -9.507166e+01
1.004359743092e+07, -9.520609e+01
1.004383584950e+07, -9.570751e+01
1.004407426808e+07, -9.614869e+01
1.004431268666e+07, -9.611875e+01
1.004455110524e+07, -9.573674e+01
1.004478952382e+07, -9.512616e+01
1.004502794240e+07, -9.465671e+01
1.004526636098e+07, -9.435734e+01
1.004550477955e+07, -9.440672e+01
1.004574319813e+07, -9.416357e+01
1.004598161671e+07, -9.390374e+01
1.004622003529e+07, -9.413995e+01
1.004645845387e+07, -9.488937e+01
1.004669687245e+07, -9.512753e+01
1.004693529103e+07, -9.548339e+01
1.004717370961e+07, -9.585444e+01
1.004741212819e+07, -9.600159e+01
1.004765054677e+07, -9.537290e+01
1.004788896535e+07, -9.476094e+01
1.004812738393e+07, -9.443330e+01
1.004836580250e+07, -9.418947e+01
1.004860422108e+07, -9.428642e+01
1.004884263966e+07, -9.476162e+01
1.004908105824e+07, -9.531894e+01
1.004931947682e+07, -9.529175e+01
1.004955789540e+07, -9.507610e+01
1.004979631398e+07, -9.489174e+01
1.005003473256e+07, -9.471121e+01
1.005027315114e+07, -9.450937e+01
1.005051156972e+07, -9.416695e+01
1.005074998830e+07, -9.358707e+01
1.005098840687e+07, -9.291793e+01
1.005122682545e+07, -9.251214e+01
1.005146524403e+07, -9.273323e+01
1.005170366261e+07, -9.379211e+01
1.005194208119e+07, -9.562769e+01
1.005218049977e+07, -9.649268e+01
1.005241891835e+07, -9.594600e+01
1.005265733693e+07, -9.534887e+01
1.005289575551e+07, -9.515872e+01
1.005313417409e+07, -9.565694e+01
1.005337259267e+07, -9.571425e+01
1.005361101124e+07, -9.537705e+01
1.005384942982e+07, -9.505247e+01
1.005408784840e+07, -9.521349e+01
1.005432626698e+07, -9.557273e+01
1.005456468556e+07, -9.484301e+01
1.005480310414e+07, -9.368010e+01
1.005504152272e+07, -9.306740e+01
1.005527994130e+07, -9.317387e+01
1.005551835988e+07, -9.409870e+01
1.005575677846e+07, -9.518760e+01
1.005599519704e+07, -9.580245e+01
1.005623361561e+07, -9.609708e+01
1.005647203419e+07, -9.577387e+01
1.005671045277e+07, -9.532417e+01
1.005694887135e+07, -9.494896e+01
1.005718728993e+07, -9.434111e+01
1.005742570851e+07, -9.393497e+01
1.005766412709e+07, -9.381916e+01
1.005790254567e+07, -9.365952e+01
1.005814096425e+07, -9.339240e+01
1.005837938283e+07, -9.321884e+01
1.005861780141e+07, -9.330542e+01
1.005885621998e+07, -9.386615e+01
1.005909463856e+07, -9.434237e+01
1.005933305714e+07, -9.451551e+01
1.005957147572e+07, -9.429388e+01
1.005980989430e+07, -9.417323e+01
1.006004831288e+07, -9.426990e+01
1.006028673146e+07, -9.403076e+01
1.006052515004e+07, -9.352658e+01
1.006076356862e+07, -9.332857e+01
1.006100198720e+07, -9.350465e+01
1.006124040578e+07, -9.410248e+01
1.006147882435e+07, -9.427083e+01
1.006171724293e+07, -9.393778e+01
1.006195566151e+07, -9.405548e+01
1.006219408009e+07, -9.449244e+01
1.006243249867e+07, -9.461794e+01
1.006267091725e+07, -9.439376e+01
1.006290933583e+07, -9.398537e+01
1.006314775441e+07, -9.382273e+01
1.006338617299e+07, -9.444357e+01
1.006362459157e+07, -9.532868e+01
1.006386301015e+07, -9.586569e+01
1.006410142872e+07, -9.592433e+01
1.006433984730e+07, -9.595388e+01
1.006457826588e+07, -9.610251e+01
1.006481668446e+07, -9.610266e+01
1.006505510304e+07, -9.572192e+01
1.006529352162e+07, -9.461975e+01
1.006553194020e+07, -9.341913e+01
1.006577035878e+07, -9.228697e+01
1.006600877736e+07, -9.183580e+01
1.006624719594e+07, -9.226799e+01
1.006648561452e+07, -9.331047e+01
1.006672403309e+07, -9.449531e+01
1.006696245167e+07, -9.555279e+01
1.006720087025e+07, -9.619447e+01
1.006743928883e+07, -9.678956e+01
1.006767770741e+07, -9.595597e+01
1.006791612599e+07, -9.524955e+01
1.006815454457e+07, -9.425081e+01
1.006839296315e+07, -9.350931e+01
1.006863138173e+07, -9.348727e+01
1.006886980031e+07, -9.417897e+01
1.006910821889e+07, -9.522318e+01
1.006934663747e+07, -9.610547e+01
1.006958505604e+07, -9.631785e+01
1.006982347462e+07, -9.628735e+01
1.007006189320e+07, -9.613591e+01
1.007030031178e+07, -9.578268e+01
1.007053873036e+07, -9.525115e+01
1.007077714894e+07, -9.472472e+01
1.007101556752e+07, -9.434987e+01
1.007125398610e+07, -9.427692e+01
1.007149240468e+07, -9.432573e+01
1.007173082326e+07, -9.382804e+01
1.007196924184e+07, -9.299405e+01
1.007220766041e+07, -9.248610e+01
1.007244607899e+07, -9.246652e+01
1.007268449757e+07, -9.303644e+01
1.007292291615e+07, -9.413355e+01
1.007316133473e+07, -9.485482e+01
1.007339975331e+07, -9.501194e+01
1.007363817189e+07, -9.459962e+01
1.007387659047e+07, -9.413411e+01
1.007411500905e+07, -9.392211e+01
1.007435342763e+07, -9.364721e+01
1.007459184621e+07, -9.349084e+01
1.007483026478e+07, -9.338089e+01
1.007506868336e+07, -9.318632e+01
1.007530710194e+07, -9.312251e+01
1.007554552052e+07, -9.362537e+01
1.007578393910e+07, -9.423121e+01
1.007602235768e+07, -9.430403e+01
1.007626077626e+07, -9.399350e+01
1.007649919484e+07, -9.338186e+01
1.007673761342e+07, -9.314460e+01
1.007697603200e+07, -9.314474e+01
1.007721445058e+07, -9.353679e+01
1.007745286915e+07, -9.364900e+01
1.007769128773e+07, -9.316646e+01
1.007792970631e+07, -9.262873e+01
1.007816812489e+07, -9.256889e+01
1.007840654347e+07, -9.289377e+01
1.007864496205e+07, -9.316701e+01
1.007888338063e+07, -9.312456e+01
1.007912179921e+07, -9.293564e+01
1.007936021779e+07, -9.293577e+01
1.007959863637e+07, -9.325333e+01
1.007983705495e+07, -9.358293e+01
1.008007547352e+07, -9.411384e+01
1.008031389210e+07, -9.457831e+01
1.008055231068e+07, -9.501605e+01
1.008079072926e+07, -9.533891e+01
1.008102914784e+07, -9.573138e+01
1.008126756642e+07, -9.558935e+01
1.008150598500e+07, -9.539428e+01
1.008174440358e+07, -9.536688e+01
1.008198282216e+07, -9.525776e+01
1.008222124074e+07, -9.475689e+01
1.008245965932e+07, -9.406770e+01
1.008269807789e+07, -9.342921e+01
1.008293649647e+07, -9.308444e+01
1.008317491505e+07, -9.297954e+01
1.008341333363e+07, -9.319102e+01
1.008365175221e+07, -9.349595e+01
1.008389017079e+07, -9.388117e+01
1.008412858937e+07, -9.421178e+01
1.008436700795e+07, -9.423601e+01
1.008460542653e+07, -9.421204e+01
1.008484384511e+07, -9.453073e+01
1.008508226369e+07, -9.534126e+01
1.008532068226e+07, -9.611461e+01
1.008555910084e+07, -9.673542e+01
1.008579751942e+07, -9.733481e+01
1.008603593800e+07, -9.726628e+01
1.008627435658e+07, -9.623576e+01
1.008651277516e+07, -9.542461e+01
1.008675119374e+07, -9.536959e+01
1.008698961232e+07, -9.570598e+01
1.008722803090e+07, -9.570611e+01
1.008746644948e+07, -9.539749e+01
1.008770486806e+07, -9.491495e+01
1.008794328663e+07, -9.443310e+01
1.008818170521e+07, -9.414205e+01
1.008842012379e+07, -9.388358e+01
1.008865854237e+07, -9.358769e+01
1.008889696095e+07, -9.338864e+01
1.008913537953e+07, -9.336691e+01
1.008937379811e+07, -9.315149e+01
1.008961221669e+07, -9.338901e+01
1.008985063527e+07, -9.395408e+01
1.009008905385e+07, -9.448371e+01
1.009032747243e+07, -9.486429e+01
1.009056589101e+07, -9.523521e+01
1.009080430958e+07, -9.551022e+01
1.009104272816e+07, -9.526255e+01
1.009128114674e+07, -9.473610e+01
1.009151956532e+07, -9.421565e+01
1.009175798390e+07, -9.352238e+01
1.009199640248e+07, -9.319551e+01
1.009223482106e+07, -9.315295e+01
1.009247323964e+07, -9.339046e+01
1.009271165822e+07, -9.323877e+01
1.009295007680e+07, -9.311084e+01
1.009318849538e+07, -9.347878e+01
1.009342691395e+07, -9.433775e+01
1.009366533253e+07, -9.502295e+01
1.009390375111e+07, -9.504951e+01
1.009414216969e+07, -9.451060e+01
1.009438058827e+07, -9.381739e+01
1.009461900685e+07, -9.309050e+01
1.009485742543e+07, -9.275890e+01
1.009509584401e+07, -9.300661e+01
1.009533426259e+07, -9.359106e+01
1.009557268117e+07, -9.412195e+01
1.009581109975e+07, -9.426603e+01
1.009604951832e+07, -9.368141e+01
1.009628793690e+07, -9.326205e+01
1.009652635548e+07, -9.343633e+01
1.009676477406e+07, -9.388776e+01
1.009700319264e+07, -9.388787e+01
1.009724161122e+07, -9.337095e+01
1.009748002980e+07, -9.298686e+01
1.009771844838e+07, -9.278065e+01
1.009795686696e+07, -9.280118e+01
1.009819528554e+07, -9.300811e+01
1.009843370412e+07, -9.337152e+01
1.009867212269e+07, -9.357030e+01
1.009891054127e+07, -9.363766e+01
1.009914895985e+07, -9.381968e+01
1.009938737843e+07, -9.384280e+01
1.009962579701e+07, -9.414772e+01
1.009986421559e+07, -9.468933e+01
1.010010263417e+07, -9.521285e+01
1.010034105275e+07, -9.537633e+01
1.010057947133e+07, -9.524009e+01
1.010081788991e+07, -9.532176e+01
1.010105630849e+07, -9.594457e+01
1.010129472706e+07, -9.680782e+01
1.010153314564e+07, -9.741183e+01
1.010177156422e+07, -9.717207e+01
1.010200998280e+07, -9.615289e+01
1.010224840138e+07, -9.492207e+01
1.010248681996e+07, -9.398358e+01
1.010272523854e+07, -9.337351e+01
1.010296365712e+07, -9.309444e+01
1.010320207570e+07, -9.320087e+01
1.010344049428e+07, -8.659110e+01
1.010367891286e+07, -7.177941e+01
1.010391733143e+07, -6.159258e+01
1.010415575001e+07, -5.431626e+01
1.010439416859e+07, -4.923354e+01
1.010463258717e+07, -4.599667e+01
1.010487100575e+07, -4.442671e+01
1.010510942433e+07, -4.444522e+01
1.010534784291e+07, -4.605129e+01
1.010558626149e+07, -4.932176e+01
1.010582468007e+07, -5.442765e+01
1.010606309865e+07, -6.169190e+01
1.010630151723e+07, -7.171723e+01
1.010653993580e+07, -8.542514e+01
1.010677835438e+07, -9.400894e+01
1.010701677296e+07, -9.557391e+01
1.010725519154e+07, -9.588885e+01
1.010749361012e+07, -9.497672e+01
1.010773202870e+07, -9.400935e+01
1.010797044728e+07, -9.341958e+01
1.010820886586e+07, -9.318170e+01
1.010844728444e+07, -9.344175e+01
1.010868570302e+07, -9.366458e+01
1.010892412160e+07, -9.375539e+01
1.010916254018e+07, -9.408067e+01
1.010940095875e+07, -9.451759e+01
1.010963937733e+07, -9.489927e+01
1.010987779591e+07, -9.479596e+01
1.011011621449e+07, -9.503048e+01
1.011035463307e+07, -9.624718e+01
1.011059305165e+07, -9.697548e+01
1.011083147023e+07, -9.624738e+01
1.011106988881e+07, -9.511044e+01
1.011130830739e+07, -9.427300e+01
1.011154672597e+07, -9.398751e+01
1.011178514455e+07, -9.456850e+01
1.011202356312e+07, -9.592006e+01
1.011226198170e+07, -9.704248e+01
1.011250040028e+07, -9.621775e+01
1.011273881886e+07, -9.484870e+01
1.011297723744e+07, -9.366636e+01
1.011321565602e+07, -9.268613e+01
1.011345407460e+07, -9.221554e+01
1.011369249318e+07, -9.219657e+01
1.011393091176e+07, -9.264620e+01
1.011416933034e+07, -9.342215e+01
1.011440774892e+07, -9.384933e+01
1.011464616749e+07, -9.389562e+01
1.011488458607e+07, -9.364460e+01
1.011512300465e+07, -9.342253e+01
1.011536142323e+07, -9.353300e+01
1.011559984181e+07, -9.364488e+01
1.011583826039e+07, -9.375822e+01
1.011607667897e+07, -9.403629e+01
1.011631509755e+07, -9.505943e+01
1.011655351613e+07, -9.640287e+01
1.011679193471e+07, -9.691217e+01
1.011703035329e+07, -9.601024e+01
1.011726877186e+07, -9.467139e+01
1.011750719044e+07, -9.382753e+01
1.011774560902e+07, -9.362324e+01
1.011798402760e+07, -9.353402e+01
1.011822244618e+07, -9.329312e+01
1.011846086476e+07, -9.329321e+01
1.011869928334e+07, -9.338016e+01
1.011893770192e+07, -9.340210e+01
1.011917612050e+07, -9.344606e+01
1.011941453908e+07, -9.392066e+01
1.011965295766e+07, -9.439812e+01
1.011989137623e+07, -9.434927e+01
1.012012979481e+07, -9.459684e+01
1.012036821339e+07, -9.524835e+01
1.012060663197e+07, -9.607088e+01
1.012084505055e+07, -9.652903e+01
1.012108346913e+07, -9.656053e+01
1.012132188771e+07, -9.646672e+01
1.012156030629e+07, -9.688126e+01
1.012179872487e+07, -9.724817e+01
1.012203714345e+07, -9.694698e+01
1.012227556203e+07, -9.694707e+01
1.012251398060e+07, -9.752530e+01
1.012275239918e+07, -9.701330e+01
1.012299081776e+07, -9.555217e+01
1.012322923634e+07, -9.444864e+01
1.012346765492e+07, -9.439951e+01
1.012370607350e+07, -9.519561e+01
1.012394449208e+07, -9.519570e+01
1.012418291066e+07, -9.464866e+01
1.012442132924e+07, -9.369329e+01
1.012465974782e+07, -9.333880e+01
1.012489816640e+07, -9.333888e+01
1.012513658497e+07, -9.380738e+01
1.012537500355e+07, -9.449889e+01
1.012561342213e+07, -9.527733e+01
1.012585184071e+07, -9.549732e+01
1.012609025929e+07, -9.572303e+01
1.012632867787e+07, -9.649968e+01
1.012656709645e+07, -9.735265e+01
1.012680551503e+07, -9.837578e+01
1.012704393361e+07, -9.857194e+01
1.012728235219e+07, -9.784937e+01
1.012752077077e+07, -9.721619e+01
1.012775918934e+07, -9.656289e+01
1.012799760792e+07, -9.625383e+01
1.012823602650e+07, -9.619338e+01
1.012847444508e+07, -9.541510e+01
1.012871286366e+07, -9.450003e+01
1.012895128224e+07, -9.351574e+01
1.012918970082e+07, -9.291656e+01
1.012942811940e+07, -9.271225e+01
1.012966653798e+07, -9.289606e+01
1.012990495656e+07, -9.362756e+01
1.013014337514e+07, -9.470134e+01
1.013038179372e+07, -9.583951e+01
1.013062021229e+07, -9.601507e+01
1.013085863087e+07, -9.586867e+01
1.013109704945e+07, -9.595633e+01
1.013133546803e+07, -9.544365e+01
1.013157388661e+07, -9.485553e+01
1.013181230519e+07, -9.493351e+01
1.013205072377e+07, -9.490754e+01
1.013228914235e+07, -9.462616e+01
1.013252756093e+07, -9.420845e+01
1.013276597951e+07, -9.376420e+01
1.013300439809e+07, -9.385594e+01
1.013324281666e+07, -9.435384e+01
1.013348123524e+07, -9.483032e+01
1.013371965382e+07, -9.480466e+01
1.013395807240e+07, -9.442757e+01
1.013419649098e+07, -9.371916e+01
1.013443490956e+07, -9.317001e+01
1.013467332814e+07, -9.267361e+01
1.013491174672e+07, -9.237721e+01
1.013515016530e+07, -9.261364e+01
1.013538858388e+07, -9.356221e+01
1.013562700246e+07, -9.498701e+01
1.013586542103e+07, -9.566922e+01
1.013610383961e+07, -9.503980e+01
1.013634225819e+07, -9.430613e+01
1.013658067677e+07, -9.365211e+01
1.013681909535e+07, -9.399645e+01
1.013705751393e+07, -9.511965e+01
1.013729593251e+07, -9.666082e+01
1.013753435109e+07, -9.715174e+01
1.013777276967e+07, -9.682151e+01
1.013801118825e+07, -9.616632e+01
1.013824960683e+07, -9.561333e+01
1.013848802540e+07, -9.539067e+01
1.013872644398e+07, -9.533594e+01
1.013896486256e+07, -9.558538e+01
1.013920328114e+07, -9.581329e+01
1.013944169972e+07, -9.509373e+01
1.013968011830e+07, -9.423461e+01
1.013991853688e+07, -9.365307e+01
1.014015695546e+07, -9.372091e+01
1.014039537404e+07, -9.411533e+01
1.014063379262e+07, -9.390439e+01
1.014087221120e+07, -9.360845e+01
1.014111062977e+07, -9.336569e+01
1.014134904835e+07, -9.310838e+01
1.014158746693e+07, -9.308734e+01
1.014182588551e+07, -9.312967e+01
1.014206430409e+07, -9.308747e+01
1.014230272267e+07, -9.308753e+01
1.014254114125e+07, -9.298282e+01
1.014277955983e+07, -9.327950e+01
1.014301797841e+07, -9.365392e+01
1.014325639699e+07, -9.392830e+01
1.014349481557e+07, -9.418766e+01
1.014373323414e+07, -9.457926e+01
1.014397165272e+07, -9.533737e+01
1.014421007130e+07, -9.635025e+01
1.014444848988e+07, -9.672665e+01
1.014468690846e+07, -9.682341e+01
1.014492532704e+07, -9.672678e+01
1.014516374562e+07, -9.641210e+01
1.014540216420e+07, -9.607863e+01
1.014564058278e+07, -9.578621e+01
1.014587900136e+07, -9.498985e+01
1.014611741994e+07, -9.426042e+01
1.014635583851e+07, -9.385970e+01
1.014659425709e+07, -9.390596e+01
1.014683267567e+07, -9.411702e+01
1.014707109425e+07, -9.409338e+01
1.014730951283e+07, -9.399928e+01
