% Moku:Go Spectrum Analyzer
% Input 1 (on), AC, 30 MHz, 1 MOhm, 10 Vpp
% Input 2 (off), AC, 30 MHz, 1 MOhm, 10 Vpp
% Start freq 9.975 000 MHz, stop freq 10.175 000 MHz, RBW 977.5 Hz (Auto mode), Blackman-Harris window, Video filter off
% Averaging: 16 spectra per frame, 1 frame averages
% Output 1 (off) - 10.000 000 000 000 MHz, 1.000 Vpp
% Output 2 (off) - 20.000 000 000 000 MHz, 1.000 Vpp
% 
% Acquired 2026-05-09 T 13:02:50 +0900
% Frequency (Hz), Input 1 (dBm)
9.974966815207e+06, -9.511586e+01
9.975205233786e+06, -9.405428e+01
9.975443652365e+06, -9.332455e+01
9.975682070944e+06, -9.339066e+01
9.975920489524e+06, -9.419891e+01
9.976158908103e+06, -9.511697e+01
9.976397326682e+06, -9.567239e+01
9.976635745261e+06, -9.567261e+01
9.976874163840e+06, -9.517159e+01
9.977112582419e+06, -9.487915e+01
9.977351000998e+06, -9.432206e+01
9.977589419577e+06, -9.398539e+01
9.977827838156e+06, -9.361594e+01
9.978066256735e+06, -9.352615e+01
9.978304675315e+06, -9.405715e+01
9.978543093894e+06, -9.482829e+01
9.978781512473e+06, -9.608548e+01
9.979019931052e+06, -9.677343e+01
9.979258349631e+06, -9.720720e+01
9.979496768210e+06, -9.677387e+01
9.979735186789e+06, -9.605635e+01
9.979973605368e+06, -9.533832e+01
9.980212023947e+06, -9.504039e+01
9.980450442526e+06, -9.512091e+01
9.980688861106e+06, -9.528399e+01
9.980927279685e+06, -9.525685e+01
9.981165698264e+06, -9.528443e+01
9.981404116843e+06, -9.550666e+01
9.981642535422e+06, -9.545083e+01
9.981880954001e+06, -9.525771e+01
9.982119372580e+06, -9.547924e+01
9.982357791159e+06, -9.602883e+01
9.982596209738e+06, -9.664751e+01
9.982834628318e+06, -9.694109e+01
9.983073046897e+06, -9.618001e+01
9.983311465476e+06, -9.582321e+01
9.983549884055e+06, -9.597040e+01
9.983788302634e+06, -9.612012e+01
9.984026721213e+06, -9.528699e+01
9.984265139792e+06, -9.408636e+01
9.984503558371e+06, -9.337666e+01
9.984741976950e+06, -9.353218e+01
9.984980395529e+06, -9.447744e+01
9.985218814109e+06, -9.562324e+01
