% Moku:Go Spectrum Analyzer
% Input 1 (on), AC, 30 MHz, 1 MOhm, 10 Vpp
% Input 2 (off), AC, 30 MHz, 1 MOhm, 10 Vpp
% Start freq 9.975 000 MHz, stop freq 10.175 000 MHz, RBW 977.5 Hz (Auto mode), Blackman-Harris window, Video filter off
% Averaging: 16 spectra per frame, 1 frame averages
% Output 1 (off) - 10.000 000 000 000 MHz, 1.000 Vpp
% Output 2 (off) - 20.000 000 000 000 MHz, 1.000 Vpp
% 
% Acquired 2026-05-09 T 12:52:13 +0900
% Frequency (Hz), Input 1 (dBm)
9.974966815207e+06, -9.500896e+01
9.975205233786e+06, -9.552912e+01
9.975443652365e+06, -9.581603e+01
9.975682070944e+06, -9.620368e+01
9.975920489524e+06, -9.693478e+01
9.976158908103e+06, -9.744709e+01
9.976397326682e+06, -9.703525e+01
9.976635745261e+06, -9.657821e+01
9.976874163840e+06, -9.651503e+01
9.977112582419e+06, -9.657865e+01
9.977351000998e+06, -9.514501e+01
9.977589419577e+06, -9.334844e+01
9.977827838156e+06, -9.231587e+01
9.978066256735e+06, -9.200995e+01
9.978304675315e+06, -9.239456e+01
9.978543093894e+06, -9.328376e+01
9.978781512473e+06, -9.334954e+01
9.979019931052e+06, -9.263429e+01
9.979258349631e+06, -9.216276e+01
9.979496768210e+06, -9.241532e+01
9.979735186789e+06, -9.343859e+01
9.979973605368e+06, -9.408250e+01
9.980212023947e+06, -9.403512e+01
9.980450442526e+06, -9.370929e+01
9.980688861106e+06, -9.348389e+01
9.980927279685e+06, -9.315629e+01
9.981165698264e+06, -9.348432e+01
9.981404116843e+06, -9.430126e+01
9.981642535422e+06, -9.493576e+01
9.981880954001e+06, -9.542316e+01
9.982119372580e+06, -9.582215e+01
9.982357791159e+06, -9.617936e+01
9.982596209738e+06, -9.605894e+01
9.982834628318e+06, -9.534090e+01
9.983073046897e+06, -9.452580e+01
9.983311465476e+06, -9.368904e+01
9.983549884055e+06, -9.322323e+01
9.983788302634e+06, -9.346443e+01
9.984026721213e+06, -9.375834e+01
9.984265139792e+06, -9.415825e+01
9.984503558371e+06, -9.420671e+01
9.984741976950e+06, -9.394478e+01
9.984980395529e+06, -9.359981e+01
9.985218814109e+06, -9.322472e+01
9.985457232688e+06, -9.316035e+01
9.985695651267e+06, -9.316056e+01
9.985934069846e+06, -9.351088e+01
9.986172488425e+06, -9.392260e+01
9.986410907004e+06, -9.425693e+01
9.986649325583e+06, -9.465541e+01
9.986887744162e+06, -9.507304e+01
9.987126162741e+06, -9.496700e+01
9.987364581320e+06, -9.491457e+01
9.987602999900e+06, -9.518123e+01
9.987841418479e+06, -9.562555e+01
9.988079837058e+06, -9.565428e+01
9.988318255637e+06, -9.440582e+01
9.988556674216e+06, -9.305649e+01
9.988795092795e+06, -9.238430e+01
9.989033511374e+06, -9.213328e+01
9.989271929953e+06, -9.221002e+01
9.989510348532e+06, -9.280675e+01
9.989748767111e+06, -9.333739e+01
9.989987185691e+06, -9.397288e+01
9.990225604270e+06, -9.481272e+01
9.990464022849e+06, -9.534761e+01
9.990702441428e+06, -9.559959e+01
9.990940860007e+06, -9.588839e+01
9.991179278586e+06, -9.624807e+01
9.991417697165e+06, -9.565716e+01
9.991656115744e+06, -9.507717e+01
9.991894534323e+06, -9.494477e+01
9.992132952902e+06, -9.481435e+01
9.992371371482e+06, -9.399849e+01
9.992609790061e+06, -9.362903e+01
9.992848208640e+06, -9.392838e+01
9.993086627219e+06, -9.440992e+01
9.993325045798e+06, -9.448468e+01
9.993563464377e+06, -9.463594e+01
9.993801882956e+06, -9.543357e+01
9.994040301535e+06, -9.656186e+01
9.994278720114e+06, -9.653041e+01
9.994517138693e+06, -9.549003e+01
9.994755557273e+06, -9.441133e+01
9.994993975852e+06, -9.411954e+01
9.995232394431e+06, -9.441173e+01
9.995470813010e+06, -9.489531e+01
9.995709231589e+06, -9.479148e+01
9.995947650168e+06, -9.409644e+01
9.996186068747e+06, -9.336476e+01
9.996424487326e+06, -9.266972e+01
9.996662905905e+06, -9.221630e+01
9.996901324484e+06, -9.217815e+01
9.997139743064e+06, -9.254968e+01
9.997378161643e+06, -9.308519e+01
9.997616580222e+06, -9.314933e+01
9.997854998801e+06, -9.275227e+01
9.998093417380e+06, -9.243148e+01
9.998331835959e+06, -9.261077e+01
9.998570254538e+06, -9.306497e+01
9.998808673117e+06, -9.365686e+01
9.999047091696e+06, -9.398051e+01
9.999285510276e+06, -9.370273e+01
9.999523928855e+06, -9.347789e+01
9.999762347434e+06, -9.377178e+01
1.000000076601e+07, -9.464129e+01
1.000023918459e+07, -9.563601e+01
1.000047760317e+07, -9.546700e+01
1.000071602175e+07, -9.479561e+01
1.000095444033e+07, -9.356837e+01
1.000119285891e+07, -9.249330e+01
1.000143127749e+07, -9.188102e+01
1.000166969607e+07, -9.182595e+01
1.000190811465e+07, -9.214407e+01
1.000214653322e+07, -9.257376e+01
1.000238495180e+07, -9.306807e+01
1.000262337038e+07, -9.345822e+01
1.000286178896e+07, -9.396010e+01
1.000310020754e+07, -9.461844e+01
1.000333862612e+07, -9.541363e+01
1.000357704470e+07, -9.538611e+01
1.000381546328e+07, -9.464437e+01
1.000405388186e+07, -9.432052e+01
1.000429230044e+07, -9.454375e+01
1.000453071902e+07, -9.407961e+01
1.000476913759e+07, -9.324113e+01
1.000500755617e+07, -9.271729e+01
1.000524597475e+07, -9.257624e+01
1.000548439333e+07, -9.265685e+01
1.000572281191e+07, -9.288213e+01
1.000596123049e+07, -9.288232e+01
1.000619964907e+07, -9.279998e+01
1.000643806765e+07, -9.284133e+01
1.000667648623e+07, -9.309270e+01
1.000691490481e+07, -9.373168e+01
1.000715332339e+07, -9.432297e+01
1.000739174196e+07, -9.459655e+01
1.000763016054e+07, -9.405829e+01
1.000786857912e+07, -9.335228e+01
1.000810699770e+07, -9.303034e+01
1.000834541628e+07, -9.315794e+01
1.000858383486e+07, -9.357443e+01
1.000882225344e+07, -9.442269e+01
1.000906067202e+07, -9.581560e+01
1.000929909060e+07, -9.726679e+01
1.000953750918e+07, -9.689731e+01
1.000977592776e+07, -9.605171e+01
1.001001434634e+07, -9.506540e+01
1.001025276491e+07, -9.415577e+01
1.001049118349e+07, -9.309566e+01
1.001072960207e+07, -9.232415e+01
1.001096802065e+07, -9.196277e+01
1.001120643923e+07, -9.224714e+01
1.001144485781e+07, -9.258106e+01
1.001168327639e+07, -9.335522e+01
1.001192169497e+07, -9.394374e+01
1.001216011355e+07, -9.425374e+01
1.001239853213e+07, -9.371308e+01
1.001263695071e+07, -9.297080e+01
1.001287536928e+07, -9.254221e+01
1.001311378786e+07, -9.248283e+01
1.001335220644e+07, -9.278498e+01
1.001359062502e+07, -9.318338e+01
1.001382904360e+07, -9.369139e+01
1.001406746218e+07, -9.411081e+01
1.001430588076e+07, -9.427965e+01
1.001454429934e+07, -9.392234e+01
1.001478271792e+07, -9.316285e+01
1.001502113650e+07, -9.268441e+01
1.001525955508e+07, -9.254400e+01
1.001549797365e+07, -9.274571e+01
1.001573639223e+07, -9.301508e+01
1.001597481081e+07, -9.318516e+01
1.001621322939e+07, -9.342451e+01
1.001645164797e+07, -9.383086e+01
1.001669006655e+07, -9.413666e+01
1.001692848513e+07, -9.385434e+01
1.001716690371e+07, -9.342522e+01
1.001740532229e+07, -9.338141e+01
1.001764374087e+07, -9.406587e+01
1.001788215945e+07, -9.515162e+01
1.001812057802e+07, -9.542495e+01
1.001835899660e+07, -9.504506e+01
1.001859741518e+07, -9.447968e+01
1.001883583376e+07, -9.413823e+01
1.001907425234e+07, -9.397250e+01
1.001931267092e+07, -9.356008e+01
1.001955108950e+07, -9.331743e+01
1.001978950808e+07, -9.295519e+01
1.002002792666e+07, -9.331777e+01
1.002026634524e+07, -9.428404e+01
1.002050476382e+07, -9.453098e+01
1.002074318239e+07, -9.421169e+01
1.002098160097e+07, -9.353892e+01
1.002122001955e+07, -9.289381e+01
1.002145843813e+07, -9.268911e+01
1.002169685671e+07, -9.264888e+01
1.002193527529e+07, -9.250912e+01
1.002217369387e+07, -9.246972e+01
1.002241211245e+07, -9.254921e+01
1.002265053103e+07, -9.235241e+01
1.002288894961e+07, -9.199022e+01
1.002312736819e+07, -9.200909e+01
1.002336578676e+07, -9.247056e+01
1.002360420534e+07, -9.319068e+01
1.002384262392e+07, -9.363074e+01
1.002408104250e+07, -9.379028e+01
1.002431946108e+07, -9.421424e+01
1.002455787966e+07, -9.478786e+01
1.002479629824e+07, -9.476229e+01
1.002503471682e+07, -9.455927e+01
1.002527313540e+07, -9.395348e+01
1.002551155398e+07, -9.338722e+01
1.002574997256e+07, -9.338739e+01
1.002598839113e+07, -9.332200e+01
1.002622680971e+07, -9.332216e+01
1.002646522829e+07, -9.379195e+01
1.002670364687e+07, -9.370068e+01
1.002694206545e+07, -9.358790e+01
1.002718048403e+07, -9.334462e+01
1.002741890261e+07, -9.317192e+01
1.002765732119e+07, -9.296074e+01
1.002789573977e+07, -9.319367e+01
1.002813415835e+07, -9.386231e+01
1.002837257693e+07, -9.479050e+01
1.002861099551e+07, -9.543238e+01
1.002884941408e+07, -9.565743e+01
1.002908783266e+07, -9.571473e+01
1.002932625124e+07, -9.521365e+01
1.002956466982e+07, -9.436385e+01
1.002980308840e+07, -9.352278e+01
1.003004150698e+07, -9.374856e+01
1.003027992556e+07, -9.492163e+01
1.003051834414e+07, -9.580213e+01
1.003075676272e+07, -9.577339e+01
1.003099518130e+07, -9.516083e+01
1.003123359988e+07, -9.476670e+01
1.003147201845e+07, -9.479260e+01
1.003171043703e+07, -9.424347e+01
1.003194885561e+07, -9.354652e+01
1.003218727419e+07, -9.330447e+01
1.003242569277e+07, -9.345798e+01
1.003266411135e+07, -9.363678e+01
1.003290252993e+07, -9.398211e+01
1.003314094851e+07, -9.453972e+01
1.003337936709e+07, -9.538025e+01
1.003361778567e+07, -9.612867e+01
1.003385620425e+07, -9.618914e+01
1.003409462282e+07, -9.583351e+01
1.003433304140e+07, -9.516304e+01
1.003457145998e+07, -9.441640e+01
1.003480987856e+07, -9.393655e+01
1.003504829714e+07, -9.370629e+01
1.003528671572e+07, -9.350418e+01
1.003552513430e+07, -9.343795e+01
1.003576355288e+07, -9.326351e+01
1.003600197146e+07, -9.313498e+01
1.003624039004e+07, -9.330714e+01
1.003647880862e+07, -9.396101e+01
1.003671722719e+07, -9.407902e+01
1.003695564577e+07, -9.419865e+01
1.003719406435e+07, -9.464307e+01
1.003743248293e+07, -9.516505e+01
1.003767090151e+07, -9.505830e+01
1.003790932009e+07, -9.490052e+01
1.003814773867e+07, -9.530102e+01
1.003838615725e+07, -9.546662e+01
1.003862457583e+07, -9.577854e+01
1.003886299441e+07, -9.574988e+01
1.003910141299e+07, -9.543928e+01
1.003933983156e+07, -9.479772e+01
1.003957825014e+07, -9.373197e+01
1.003981666872e+07, -9.301061e+01
1.004005508730e+07, -9.264110e+01
1.004029350588e+07, -9.264125e+01
1.004053192446e+07, -9.320197e+01
1.004077034304e+07, -9.339732e+01
1.004100876162e+07, -9.331017e+01
1.004124718020e+07, -9.333206e+01
1.004148559878e+07, -9.337586e+01
1.004172401736e+07, -9.371055e+01
1.004196243593e+07, -9.457044e+01
1.004220085451e+07, -9.607425e+01
1.004243927309e+07, -9.735878e+01
