% Moku:Go Spectrum Analyzer
% Input 1 (on), AC, 30 MHz, 1 MOhm, 10 Vpp
% Input 2 (off), AC, 30 MHz, 1 MOhm, 10 Vpp
% Start freq 9.975 000 MHz, stop freq 10.175 000 MHz, RBW 977.5 Hz (Auto mode), Blackman-Harris window, Video filter off
% Averaging: 16 spectra per frame, 1 frame averages
% Output 1 (off) - 10.000 000 000 000 MHz, 1.000 Vpp
% Output 2 (off) - 20.000 000 000 000 MHz, 1.000 Vpp
% 
% Acquired 2026-05-09 T 12:53:45 +0900
% Frequency (Hz), Input 1 (dBm)
9.974966815207e+06, -9.495600e+01
9.975205233786e+06, -9.403052e+01
9.975443652365e+06, -9.291849e+01
9.975682070944e+06, -9.247110e+01
9.975920489524e+06, -9.255101e+01
9.976158908103e+06, -9.285674e+01
9.976397326682e+06, -9.372846e+01
9.976635745261e+06, -9.493119e+01
9.976874163840e+06, -9.608373e+01
9.977112582419e+06, -9.657865e+01
9.977351000998e+06, -9.593518e+01
9.977589419577e+06, -9.530860e+01
9.977827838156e+06, -9.482764e+01
9.978066256735e+06, -9.462226e+01
9.978304675315e+06, -9.469901e+01
9.978543093894e+06, -9.472489e+01
9.978781512473e+06, -9.467386e+01
9.979019931052e+06, -9.422600e+01
9.979258349631e+06, -9.393984e+01
9.979496768210e+06, -9.389324e+01
9.979735186789e+06, -9.387014e+01
9.979973605368e+06, -9.375469e+01
9.980212023947e+06, -9.355053e+01
9.980450442526e+06, -9.382434e+01
9.980688861106e+06, -9.430061e+01
9.980927279685e+06, -9.472706e+01
9.981165698264e+06, -9.531187e+01
9.981404116843e+06, -9.504147e+01
9.981642535422e+06, -9.420415e+01
9.981880954001e+06, -9.322174e+01
9.982119372580e+06, -9.275915e+01
9.982357791159e+06, -9.286240e+01
9.982596209738e+06, -9.341905e+01
9.982834628318e+06, -9.413294e+01
9.983073046897e+06, -9.467775e+01
9.983311465476e+06, -9.531380e+01
9.983549884055e+06, -9.573642e+01
9.983788302634e+06, -9.528678e+01
9.984026721213e+06, -9.440204e+01
9.984265139792e+06, -9.378156e+01
9.984503558371e+06, -9.348731e+01
9.984741976950e+06, -9.348752e+01
9.984980395529e+06, -9.371335e+01
9.985218814109e+06, -9.399228e+01
9.985457232688e+06, -9.432938e+01
9.985695651267e+06, -9.475706e+01
9.985934069846e+06, -9.496595e+01
9.986172488425e+06, -9.499260e+01
9.986410907004e+06, -9.542720e+01
9.986649325583e+06, -9.556773e+01
9.986887744162e+06, -9.520771e+01
9.987126162741e+06, -9.435542e+01
9.987364581320e+06, -9.360191e+01
9.987602999900e+06, -9.349004e+01
9.987841418479e+06, -9.390068e+01
9.988079837058e+06, -9.463123e+01
9.988318255637e+06, -9.523615e+01
9.988556674216e+06, -9.507450e+01
9.988795092795e+06, -9.483744e+01
9.989033511374e+06, -9.499510e+01
9.989271929953e+06, -9.537419e+01
9.989510348532e+06, -9.568414e+01
9.989748767111e+06, -9.579978e+01
9.989987185691e+06, -9.579998e+01
9.990225604270e+06, -9.537502e+01
9.990464022849e+06, -9.551465e+01
9.990702441428e+06, -9.582970e+01
9.990940860007e+06, -9.597687e+01
9.991179278586e+06, -9.606647e+01
9.991417697165e+06, -9.562864e+01
9.991656115744e+06, -9.505049e+01
9.991894534323e+06, -9.450845e+01
9.992132952902e+06, -9.440911e+01
9.992371371482e+06, -9.466036e+01
9.992609790061e+06, -9.510475e+01
9.992848208640e+06, -9.554484e+01
9.993086627219e+06, -9.586093e+01
9.993325045798e+06, -9.532252e+01
9.993563464377e+06, -9.461058e+01
9.993801882956e+06, -9.463614e+01
9.994040301535e+06, -9.524105e+01
9.994278720114e+06, -9.597972e+01
9.994517138693e+06, -9.586214e+01
9.994755557273e+06, -9.494719e+01
9.994993975852e+06, -9.431310e+01
9.995232394431e+06, -9.411974e+01
9.995470813010e+06, -9.426470e+01
9.995709231589e+06, -9.446176e+01
